iter	Passed	Remaining
1587	9758	2531
1588	9762	2525
1589	9772	2520
1590	9777	2513
1591	9783	2507
1592	9788	2500
1593	9793	2494
1594	9799	2488
1595	9805	2482
1596	9810	2475
1597	9818	2470
1598	9824	2463
1599	9832	2458
1600	9838	2451
1601	9843	2445
1602	9849	2439
1603	9855	2433
1604	9860	2426
1605	9867	2420
1606	9872	2414
1607	9880	2408
1608	9885	2402
1609	9891	2396
1610	9900	2390
1611	9905	2384
1612	9911	2378
1613	9916	2371
1614	9922	2365
1615	9927	2358
1616	9933	2352
1617	9937	2346
1618	9944	2340
1619	9950	2334
1620	9955	2327
1621	9963	2321
1622	9968	2315
1623	9974	2309
1624	9980	2303
1625	9985	2296
1626	9993	2291
1627	9999	2284
1628	10004	2278
1629	10014	2273
1630	10019	2266
1631	10025	2260
1632	10030	2254
1633	10036	2248
1634	10042	2241
1635	10047	2235
1636	10052	2229
1637	10060	2223
1638	10066	2217
1639	10071	2210
1640	10078	2204
1641	10083	2198
1642	10088	2192
1643	10094	2185
1644	10099	2179
1645	10106	2173
1646	10112	2167
1647	10117	2160
1648	10124	2155
1649	10129	2148
1650	10135	2142
1651	10143	2136
1652	10148	2130
1653	10154	2124
1654	10159	2117
1655	10165	2111
1656	10172	2105
1657	10177	2099
1658	10182	2092
1659	10190	2087
1660	10195	2080
1661	10200	2074
1662	10207	2068
1663	10211	2062
1664	10218	2055
1665	10223	2049
1666	10228	2043
1667	10233	2036
1668	10239	2030
1669	10244	2024
1670	10254	2018
1671	10260	2012
